Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Afghanistan,3587336,3809767,2510294,2136043,2414401,2166149,2107519,3057661,2833128,2887123,3054709,2664436,2586152,2556502,2596270,2666305,2501410,46135205
Syrian Arab Republic,5871,4869,18913,20819,21439,16401,12337,13690,15211,17914,18452,19931,729022,2468332,3887491,4873243,5524333,17668268
Iraq,526179,530511,422512,368580,311884,262299,1450905,2309245,1903519,1785212,1683579,1428308,746206,401466,369954,264094,315998,15080451
Somalia,475655,440134,432316,402336,389314,395553,464038,457356,561155,678309,770154,1077048,1136719,1121770,1106434,1123156,1012277,12043724
Sudan,494363,489950,508877,606242,730650,693632,686311,523032,419248,368195,387288,500014,568943,648942,665967,627087,650588,9569329
"Congo, Dem. Rep.",371713,392146,421362,453465,462208,430929,401914,370374,367995,455852,476693,491481,509290,499563,516771,541496,537429,7700681
Vietnam,370758,353224,373741,363179,349780,358268,374279,327776,328183,339289,338698,337829,336939,314107,313418,313155,329331,5821954
Burundi,568084,553999,574557,531637,485773,438706,396541,375727,281592,94239,84064,101288,73363,72647,72493,292764,408036,5405510
Myanmar,137128,145856,148501,151384,161013,164864,202826,191313,184413,406669,415670,414626,415371,479606,479006,451805,490265,5040316
Eritrea,376851,333229,318176,124121,131131,144066,193745,208748,186398,209168,222460,251954,285371,308236,363092,407449,459390,4523585
Colombia,9279,17938,30625,37995,47381,60450,72796,551744,373532,389753,395577,395949,394117,396717,360298,340127,311051,4185329
West Bank and Gaza,110640,349161,428782,350568,350617,349673,334142,341237,340016,95201,93323,94150,94918,96044,97212,98018,97749,3721451
Angola,433760,470625,435421,329583,228838,215827,206501,186155,171393,141021,134858,128664,19258,10286,9484,11869,8363,3141906
South Sudan,,,,,,,,,,,,1,87009,114470,616211,778718,1436667,3033076
China,110975,117409,132115,132406,134724,124101,140598,149095,175180,180558,184602,190369,193453,195133,210802,212912,207733,2792165
Serbia,146748,144231,327587,296632,236999,189989,174027,165643,185935,195626,183289,161671,158908,48725,45733,38628,36898,2737269
Central African Republic,139,28704,25376,35400,31069,42890,71685,98104,125106,159554,164905,162862,164568,252867,412041,471105,490869,2737244
Bosnia and Herzegovina,504981,447321,406448,300006,228831,109930,199946,78273,74366,70018,63004,58578,51822,26790,21888,18769,18179,2679150
Liberia,266930,244608,275422,353344,335467,231139,160548,91540,75213,71599,70129,66780,23428,17558,13572,9991,6513,2313781
Turkey,47155,47090,193704,185098,174574,170567,227232,221939,214378,146387,146794,139779,135372,66575,63892,59558,57885,2297979
Croatia,335199,290279,274818,230189,215475,119148,93767,100423,97012,76478,65861,62649,62606,49756,40122,33451,26211,2173444
Sri Lanka,124160,122420,133239,122010,114050,108139,116966,134952,137752,145721,141074,136617,132731,123084,122010,121443,117447,2153815
Rwanda,119056,84513,75257,75263,63812,100264,92966,80964,72530,129109,115524,106833,97373,83955,79408,286366,286033,1949226
Azerbaijan,284277,268759,260214,253255,250583,233675,126068,15916,16319,16939,16753,16162,15537,10814,10515,9710,10087,1815583
Russian Federation,40310,45156,91626,96420,107975,103037,159381,93224,103061,109455,111948,109785,110588,74316,70562,67020,62737,1556601
"Iran, Islamic Rep.",88278,92491,138364,122530,115162,99428,102483,68397,69061,72774,68791,72361,75940,75070,82191,84950,94042,1522313
Ukraine,19312,26716,85265,94148,89579,84228,63723,25985,28424,24522,25111,25379,25256,5163,237625,321418,239048,1420902
Bhutan,108945,110845,112523,103978,105255,106537,108073,110598,104965,89070,75070,57989,41590,31567,23642,17720,11732,1320099
Ethiopia,66410,58997,61240,62677,63150,65461,74026,59858,63878,62889,68848,70610,74968,77122,86870,85839,83894,1186737
Pakistan,10133,12324,23163,24389,25949,29913,25639,31858,32403,35132,39982,35952,49785,48686,335961,297899,105376,1164544
Sierra Leone,402807,179113,141475,70580,41802,40477,42863,32127,32536,15417,11275,8002,6202,5311,4993,4904,4628,1044512
Mali,364,311,531,461,483,520,594,4494,1758,2926,3663,4295,149943,152828,139267,154213,156390,773041
Cote d'Ivoire,773,858,23741,33637,23655,18338,26315,22232,22227,23153,41758,154824,100720,85652,71966,71115,46741,767705
Chad,54962,46294,47349,52275,52663,48400,36300,55722,55105,55014,53733,42640,39694,48640,48258,14940,14146,766135
Nigeria,5742,6084,24572,24428,23892,22128,13253,13904,14169,15609,15642,17141,18021,31176,90947,167989,229261,733958
Mauritania,29752,29862,30137,30525,31131,31651,33428,33108,45601,39143,37733,39929,33765,34252,34113,34660,36228,585018
Haiti,7561,7248,7718,7547,9208,13542,20837,22280,23066,24116,25892,33661,38568,38659,37162,34774,29661,381500
Tajikistan,59940,56108,63267,58936,56780,54753,645,894,544,562,577,612,674,662,725,794,910,357383
"Congo, Rep.",27579,24237,28002,28958,28152,24438,20609,19735,19925,20544,20679,12839,12119,11753,14500,14781,13231,342081
Cambodia,36855,34759,33456,31407,18121,17806,17965,17704,17253,17025,16314,15205,14024,13747,13071,12803,12408,339923
Uganda,32414,40141,40425,35247,31963,34225,21752,21341,7548,7554,6441,5680,5608,8176,7191,6316,6189,318211
Indonesia,9149,8970,9906,16240,27919,34384,34728,20558,19345,18213,16892,16079,15523,14786,14408,13956,13046,304102
Ghana,14775,14556,15686,15879,14767,18433,9960,5063,13242,14893,20203,20361,24298,21078,22145,22978,15507,283824
Togo,4016,4354,10448,10614,10819,51107,27332,22502,16750,18378,18330,17871,15693,10319,9276,8785,8286,264880
Senegal,11088,8559,12069,8351,8332,8671,15163,15896,16006,16305,16267,17722,18724,19822,23118,21280,23019,260392
Zimbabwe,109,257,4030,7162,9568,11251,12782,14374,16841,22449,24089,25048,22101,19734,22492,21344,18116,251747
India,11399,11571,14349,13706,13345,16285,17811,20466,19569,19514,17769,16232,14258,11041,10436,9881,7243,244875
Armenia,5786,7207,13249,13162,13424,13965,14918,15436,16336,18000,17547,16487,15935,11998,11848,11214,10687,227199
Lebanon,10215,8763,26320,24932,19866,18323,12252,13094,12967,16260,15869,15013,15106,3819,4273,4369,4709,226150
Timor-Leste,122202,73042,28097,127,221,251,251,6,7,7,8,8,9,10,13,20,14,224293
Cuba,20084,18959,18043,16093,15659,19000,33580,7503,7938,7549,7477,7856,7731,7460,7502,6833,5925,215192
Albania,6802,7626,10761,10385,10470,12722,14080,15340,15006,15711,14772,13551,12568,10103,10158,10408,11050,201513
Lao PDR,16094,12631,11235,10363,16114,24442,26447,10013,8598,8398,8414,8088,7984,7745,7482,7363,7224,198635
Georgia,21821,17498,16975,12497,6633,7301,6340,11810,12598,15020,10640,10112,9261,6778,6681,6493,6365,184823
Cameroon,2062,2724,5225,6206,7629,9101,10384,11508,13870,14766,14963,15163,13382,11427,10766,10586,10328,170090
Guinea,1497,2019,3418,3871,4782,5820,6840,8278,9495,10920,11985,13161,14061,14561,15252,17005,17526,160491
"Egypt, Arab Rep.",3953,4678,6443,5735,5376,6291,7613,6799,6780,6990,6913,7936,10020,12810,15903,17926,19742,151908
Bangladesh,5401,5548,5808,5565,5731,7304,7803,10243,10098,10432,10049,10056,10161,9728,10883,12173,13810,150793
Philippines,45482,45467,45608,412,434,465,886,1552,1354,993,970,952,986,724,670,593,421,147969
Guatemala,20711,16867,13888,6696,4376,3379,6496,6161,5934,5768,5679,6088,6388,6615,7483,10284,12534,145347
El Salvador,7756,7150,6632,5658,4497,4281,6388,6022,5151,5051,4976,6720,8171,9635,10965,14778,19595,133426
Algeria,8034,8418,12107,11667,10691,12041,8353,10615,9060,8185,6689,6121,5677,3660,3524,3490,3675,132007
Uzbekistan,3628,3458,6881,7391,7288,8323,9102,5663,6308,6669,8840,12664,11593,4952,4795,4206,3809,115570
Kenya,2373,2559,3098,3163,3847,4640,5356,7546,9688,9620,8602,8745,8950,8586,8553,7906,7506,110738
Moldova,2657,3737,10130,11146,11937,12064,11680,4918,5555,5925,6200,6264,6148,2207,2233,2289,2291,107381
"Macedonia, FYR",2176,12197,8107,5982,5106,8600,7940,8077,7521,7926,7889,7684,7589,1628,1759,1777,1705,103663
Poland,865,3191,16712,15211,10677,19641,13513,2915,2391,2059,1764,1815,1640,1429,1310,1297,1144,97574
Belarus,2519,3696,6364,7815,8244,8857,9371,4970,5384,5525,5743,5925,6191,4397,4300,4125,3824,97250
Mexico,1291,1594,1670,1652,1744,2313,3304,5572,6162,6435,6816,7472,8435,9390,10666,11333,10367,96216
Peru,6944,6502,6430,5581,4769,4865,6985,7743,7339,6271,5834,5491,5212,4768,4343,3599,2589,95265
Romania,7348,6052,8847,8387,5916,11502,7234,5306,4756,4358,3934,3428,2807,2330,1918,1735,1190,87048
"Venezuela, RB",471,466,526,598,1256,2590,3829,5094,5807,6221,6701,7577,8208,8395,8009,7454,7513,80715
Nepal,235,306,902,1231,1416,2065,2647,3364,4189,5108,5889,6854,7612,8110,8563,9063,8350,75904
Kazakhstan,2537,2803,6315,6559,6121,4316,7376,5235,4825,3744,3632,3500,3571,2123,2224,2267,2326,69474
"Yemen, Rep.",2113,1985,1600,1597,1606,1325,1362,1632,1777,1934,2076,2323,2594,2428,2631,15897,18396,63276
Libya,619,888,1456,1570,1720,1575,1573,1954,2084,2202,2309,4384,5251,3314,4203,6090,8796,49988
"Gambia, The",750,734,861,746,684,1683,1254,1267,1352,1973,2242,2583,3076,3397,5136,8492,11569,47799
Kyrgyz Republic,748,685,2950,3141,3292,3122,2488,2254,2517,2612,2744,3162,3489,2301,2451,2502,2546,43004
Bulgaria,2404,2121,2841,2567,2215,4254,3438,3311,3040,2745,2559,2327,2147,1880,1648,1269,794,41560
Honduras,903,781,673,604,484,535,1035,1236,1116,1166,1302,1966,2613,3300,4159,6851,10479,39203
Nicaragua,5071,4399,4050,3983,1822,1463,1828,1900,1537,1478,1431,1468,1531,1538,1587,1476,1409,37971
Czech Republic,810,1179,6984,6702,4542,3589,2138,1384,1358,1067,817,763,622,991,1327,1285,1266,36824
United States,176,219,383,395,451,683,1356,2174,2137,2368,3026,3778,4456,4760,4987,4832,277,36458
Morocco,392,363,1269,1291,1319,2920,4710,4039,3533,2286,2284,2312,2407,1308,1539,1786,2230,35988
Tunisia,1207,1368,2543,2563,2518,3129,2845,2507,2349,2260,2174,1952,1935,1363,1485,1567,1667,35432
Hungary,518,953,3517,3395,2749,3519,3118,3386,1614,1537,1438,1238,1087,1220,1267,1443,2904,34903
Jordan,919,775,1287,1162,1169,1789,1604,1787,1890,2129,2254,2250,2368,1632,1718,1841,1889,28463
Pacific island small states,445,778,1140,1181,1382,1443,1779,1927,1975,1996,1967,1697,1429,1219,1027,989,882,23256
Namibia,2308,2297,1302,1293,1314,1226,1203,1128,985,921,1017,1073,1098,1143,1253,1277,1348,22186
Fiji,401,731,1072,1087,1281,1379,1685,1828,1868,1892,1851,1579,1317,1112,924,883,791,21681
Mongolia,23,60,280,324,442,654,868,1101,1333,1495,1724,1985,2114,2059,2163,2199,2267,21091
Latvia,491,619,3082,3177,2826,2430,1424,662,763,791,713,709,662,233,213,193,165,19153
Guinea-Bissau,886,927,986,975,1018,1050,1004,1028,1065,1109,1127,1123,1180,1223,1307,1471,1635,19114
Montenegro,,,,,,,135,557,1283,2582,3246,3698,4054,546,607,651,708,18067
Burkina Faso,130,98,978,853,583,607,376,558,725,990,1145,1271,1460,1584,1857,2148,2327,17690
Chile,860,834,1709,1555,1194,938,805,970,994,1312,1170,1189,1152,596,579,561,490,16908
Tanzania,313,378,580,711,985,1549,1667,1255,1270,1204,1144,1163,1122,1040,858,820,554,16613
Israel,416,363,564,625,672,632,882,1541,1494,1310,1301,1335,1340,1041,979,802,467,15764
Jamaica,37,37,147,259,350,489,660,766,826,909,1057,1250,1407,1503,1692,1868,1988,15245
Ecuador,671,653,822,730,727,775,887,1332,1066,1027,852,909,844,707,804,1009,1021,14836
Kuwait,692,701,709,616,398,381,617,746,854,938,988,1120,1197,977,981,1085,1008,14008
Niger,493,483,834,728,689,655,818,827,796,822,803,819,832,683,739,1390,1210,13621
Brazil,224,254,441,378,403,370,707,1624,1404,973,994,1045,1076,985,977,895,793,13543
St. Vincent and the Grenadines,48,67,81,105,181,279,387,646,750,849,946,1127,1316,1535,1736,1823,1330,13206
Djibouti,1910,452,471,522,495,504,486,648,650,622,566,602,640,762,879,1069,1417,12695
"Korea, Dem. People’s Rep.",13,19,259,304,343,288,397,605,886,881,917,1052,1132,1167,1282,1101,1409,12055
Thailand,217,94,344,296,319,424,3325,2325,1815,502,356,368,381,222,233,222,143,11586
Lithuania,163,216,1371,1541,1482,1448,942,466,490,501,515,528,491,220,183,144,64,10765
Argentina,609,659,771,784,796,856,894,1171,1047,608,557,518,447,388,318,194,115,10732
Turkmenistan,300,310,801,840,812,820,692,678,736,743,738,726,723,519,484,455,346,10723
"Korea, Rep.",73,83,245,237,272,268,1335,1188,1104,573,585,514,558,500,481,353,243,8612
Saudi Arabia,77,35,109,236,214,151,617,753,712,633,667,745,818,584,630,701,897,8579
Slovenia,3284,765,858,610,582,155,1760,52,52,39,38,32,34,28,26,23,15,8353
Estonia,455,479,1060,1027,855,743,626,262,248,248,240,224,456,352,339,318,298,8230
Guyana,36,36,49,78,194,406,537,677,708,727,749,771,801,800,700,511,269,8049
Bolivia,175,156,219,264,285,269,374,428,454,573,590,611,618,601,600,571,515,7303
Slovak Republic,220,191,595,667,619,791,741,342,331,334,158,269,239,323,319,326,792,7257
Malaysia,82,79,119,239,292,394,584,615,608,532,552,537,531,485,468,439,443,6999
Equatorial Guinea,509,529,552,591,552,477,461,407,384,344,305,258,228,200,174,154,126,6251